ID,Source,Latitude,Longitude,Year,LandCoverValue,0_BlueMarchApril,0_GreenMarchApril,0_RedMarchApril,0_NIRMarchApril,0_SWIR1MarchApril,0_SWIR2MarchApril,0_NDVIMarchApril,0_BlueMayJune,0_GreenMayJune,0_RedMayJune,0_NIRMayJune,0_SWIR1MayJune,0_SWIR2MayJune,0_NDVIMayJune,0_BlueJulyAug,0_GreenJulyAug,0_RedJulyAug,0_NIRJulyAug,0_SWIR1JulyAug,0_SWIR2JulyAug,0_NDVIJulyAug,1_BlueMarchApril,1_GreenMarchApril,1_RedMarchApril,1_NIRMarchApril,1_SWIR1MarchApril,1_SWIR2MarchApril,1_NDVIMarchApril,1_BlueMayJune,1_GreenMayJune,1_RedMayJune,1_NIRMayJune,1_SWIR1MayJune,1_SWIR2MayJune,1_NDVIMayJune,1_BlueJulyAug,1_GreenJulyAug,1_RedJulyAug,1_NIRJulyAug,1_SWIR1JulyAug,1_SWIR2JulyAug,1_NDVIJulyAug,2_BlueMarchApril,2_GreenMarchApril,2_RedMarchApril,2_NIRMarchApril,2_SWIR1MarchApril,2_SWIR2MarchApril,2_NDVIMarchApril,2_BlueMayJune,2_GreenMayJune,2_RedMayJune,2_NIRMayJune,2_SWIR1MayJune,2_SWIR2MayJune,2_NDVIMayJune,2_BlueJulyAug,2_GreenJulyAug,2_RedJulyAug,2_NIRJulyAug,2_SWIR1JulyAug,2_SWIR2JulyAug,2_NDVIJulyAug
95249,Land Cover,46.00461358,-95.93495155,2019,31,324,619,772,1476,1410,955,3130,471,824,871,2870,2821,1832,5296,258,640,411,3613,1845,871,7921,332,528,606,1060,477,317,2837,754,1133,1306,2371,2041,1486,2909,276,618,381,4674,2198,986,8438,473,1536,1909,3035,3979,2960,2258,383,727,589,3928,2383,1288,7397,325,675,483,3892,2326,1122,7779
88660,Land Cover,47.0616563,-94.48505483,2019,31,1108,1364,1631,2254,2778,2262,1596,798,1212,1411,2982,3116,2416,3540,667,1205,1257,2976,2983,2218,4137,926,1330,1602,2635,3276,2610,2437,820,1250,1441,2899,3035,2336,3379,752,1145,1253,2964,2916,2145,4086,2151,2492,2740,3140,2363,1882,1434,821,1232,1384,2970,2692,1988,3590,628,1002,1058,2805,2455,1732,4483
38794,Land Cover,45.5287979,-96.03858396,2019,41,475,558,699,1107,2173,1823,2260,430,631,642,1781,2331,1905,4619,251,612,348,4624,1725,666,8682,592,779,911,1386,1765,1346,2088,408,665,667,2031,2118,1507,4880,312,573,501,3040,2062,1316,7187,546,640,759,1434,2357,2006,3109,423,659,552,2231,2219,1667,6489,240,461,278,4423,1700,665,8814
39546,Land Cover,45.75710955,-95.99309988,2019,41,622,875,1127,1962,2549,1754,2710,474,858,1015,2534,2544,1634,4277,181,533,265,4190,1429,561,8808,426,706,848,1624,1974,1452,3139,458,781,700,3179,1909,1225,6324,261,518,326,4276,1669,676,8598,656,890,1091,2055,2673,1913,3060,325,694,580,3818,2062,1118,6858,257,500,344,4167,1774,733,8473
26238,Land Cover,46.89919321,-95.30666142,2019,42,396,575,630,1503,1869,1196,4094,347,543,579,1769,1898,1130,5042,246,488,296,3251,1579,683,8317,353,520,590,1528,1901,1204,4434,355,564,598,1839,1871,1105,5061,235,483,275,3417,1725,781,8687,371,503,593,1502,1768,1131,4335,284,599,386,3074,1830,889,7745,203,434,255,3365,1673,693,8596
27616,Land Cover,46.85162451,-95.05366215,2019,42,524,844,877,2537,1089,646,4875,255,449,445,2489,1392,739,6949,190,390,253,2981,1027,465,8442,415,548,566,2488,1299,690,6226,279,514,384,3377,1411,684,7942,127,318,181,2771,863,349,8853,323,505,519,2480,1457,798,6524,244,443,355,3050,1291,678,7838,203,381,227,2980,926,348,8547
29400,Land Cover,46.83613065,-95.46883382,2019,43,479,717,779,2109,1263,751,4614,290,489,421,2356,1413,698,6930,249,408,254,3446,1317,465,8665,1016,1172,1214,2437,1282,835,3804,201,440,284,2998,1343,602,8183,207,382,217,3609,1379,508,8877,463,591,618,1888,1447,922,5087,218,423,275,2472,1288,558,8416,190,453,252,3656,1260,537,8612
30789,Land Cover,46.76767202,-95.19073266,2019,43,515,682,794,1685,2140,1452,3591,309,579,526,2994,1984,1059,6933,172,359,201,3822,1448,561,9012,841,1100,1280,2267,1778,1202,2818,313,572,501,2693,1814,996,6803,176,419,209,4373,1546,606,9080,493,686,826,1936,2309,1575,4024,261,567,357,3809,1636,786,8407,170,364,217,4114,1532,562,9034
82020,Land Cover,46.76371838,-95.106179,2019,52,626,808,1031,1870,2482,1670,2918,350,680,674,2324,2445,1376,5291,273,458,282,3646,1750,691,8552,742,933,1158,2028,2253,1496,2786,493,748,713,2608,2231,1245,5904,229,389,200,3688,1663,626,8961,688,850,1073,2092,2554,1680,3255,286,596,415,3231,1978,936,7611,197,415,243,3748,1644,611,8885
88021,Land Cover,46.55981907,-95.01103754,2019,52,846,1258,1743,2723,3912,2583,2190,524,1008,1073,3924,3076,1728,5642,329,805,437,4597,2202,923,8241,921,1318,1820,2902,4191,2837,2267,757,1103,1152,3313,2737,1646,4841,275,694,395,4739,2239,948,8139,964,1369,1852,3266,4240,2705,2778,295,664,505,4038,2286,1088,7882,225,566,337,4075,1902,766,8487
13972,Land Cover,46.0574586,-95.40661503,2019,71,680,971,1204,2024,2724,1967,2533,444,833,822,3012,2558,1558,5519,319,589,406,3917,1743,740,8124,640,828,1064,1839,2590,1798,2738,505,819,770,3029,2245,1281,5807,227,455,290,3846,1720,718,8588,837,1085,1352,2297,3126,2153,2628,393,719,611,3392,2311,1267,6942,362,595,436,3437,1767,797,7814
21312,Land Cover,46.09507225,-95.7687273,2019,71,803,1021,1294,1969,3077,2154,2086,439,868,911,2714,2860,1773,5174,307,701,420,4103,2073,911,8125,641,865,1091,1931,2895,2124,2780,521,779,801,2552,2622,1723,5165,338,749,512,3953,2549,1180,7682,807,992,1148,1921,2588,2000,2613,520,763,733,2464,2567,1778,5461,305,642,469,3230,2115,1113,7332
19109,Land Cover,45.34318841,-96.28269036,2019,81,742,1104,1363,2212,3104,2240,2373,555,841,865,2721,2671,1575,5442,425,697,539,3190,1950,962,7100,0,0,0,0,0,0,0,573,809,784,2560,2198,1264,5271,264,664,514,3122,2132,1088,7011,854,1175,1491,2790,3574,2479,2978,433,730,689,3089,2577,1404,6231,458,676,634,2312,1903,1090,5629
19676,Land Cover,45.57621036,-96.8018986,2019,81,832,1166,1480,2320,3146,2278,2212,547,882,867,2964,2727,1554,5620,377,704,520,3527,2242,1069,7435,697,906,1115,1771,2092,1427,2223,334,618,482,2932,1797,852,7205,296,661,458,3693,1991,931,7733,406,1069,1478,2802,3593,2447,3314,367,717,637,3143,2268,1199,6683,382,715,645,3350,2634,1347,6785
2667,Land Cover,45.19491836,-96.39376432,2019,82,469,774,977,1433,2186,1807,1898,612,816,1047,1701,2955,2607,2360,353,662,374,5923,2325,932,8802,677,885,1127,1832,3404,3049,2371,714,929,1188,1953,3597,3163,2457,189,419,269,4267,1460,531,8643,707,999,1283,1941,3199,2641,2025,697,1001,1299,2281,3548,2997,2742,262,501,300,5035,1748,810,8834
2711,Land Cover,45.59004615,-96.02657393,2019,82,545,822,1034,1465,2473,2084,1729,648,899,1089,1863,3103,2655,2590,415,769,602,3892,2497,1483,7543,648,649,766,977,1333,892,1214,627,777,881,1782,2599,2161,3295,291,630,514,3685,1982,1074,7526,930,1225,1520,2109,2941,2435,1726,654,962,1091,2480,3024,2385,3858,273,599,472,3950,2194,1194,7853
4563,Land Cover,46.84310331,-95.60546096,2019,90,730,1064,1269,1831,2120,1524,1759,774,1081,1057,3944,2937,2021,5812,381,702,468,4336,2023,942,8043,662,893,1088,1806,2253,1546,2547,649,986,1082,2808,2997,2152,4711,269,593,363,4521,2002,943,8512,657,853,1063,2012,2594,2025,3080,612,997,1039,3712,3131,2282,5629,315,598,441,4400,2177,981,8305
4674,Land Cover,45.95022046,-95.75444036,2019,90,967,1196,1474,2058,2099,1272,1373,448,707,866,1854,1660,1048,3916,167,463,326,2970,1119,562,8070,726,1101,1485,2336,3071,1982,2232,707,1034,1350,2140,3000,1974,2555,198,429,372,2567,1227,628,7493,579,922,1317,2337,2578,1543,2789,475,759,1002,2062,2142,1346,3387,197,398,379,2197,1194,607,7121
8719,Land Cover,45.17868908,-96.32286859,2019,95,960,1359,1813,2643,3900,2613,1863,753,1155,1443,2954,3265,2048,3615,288,730,438,3728,2012,914,7894,988,1533,2026,3208,4522,3082,2259,827,1433,1822,3185,4173,2848,2721,203,605,383,3978,2175,990,8243,762,1073,1487,2432,3093,1993,2423,425,800,748,3225,2464,1297,6233,307,569,451,3230,2088,943,7575
9200,Land Cover,45.8892958,-96.09512672,2019,95,855,1251,1663,2419,2415,1635,1868,873,1287,1784,2587,3678,2594,1837,289,696,481,4012,1951,911,7855,1841,1774,1819,1584,321,295,-646,243,305,299,493,388,310,2196,269,715,549,1833,714,419,5277,101,240,255,592,274,221,3970,594,844,1050,1937,3392,2738,2882,256,460,425,1214,896,481,4806
